province_state,country_region,Bulanan,latitude,longitude,confirmed,deaths,recovered,active
Jiangsu,China,2021-10-31,32.9711,119.455,49596,0,,
Jiangxi,China,2021-10-31,27.614,115.7221,29050,31,,
Jilin,China,2021-10-31,43.6661,126.1923,17879,93,,
Liaoning,China,2021-10-31,41.2956,122.6085,14320,62,,
Macau,China,2021-10-31,22.1667,113.55,2360,0,,
Ningxia,China,2021-10-31,37.2692,106.1655,2631,0,,
Qinghai,China,2021-10-31,35.7452,95.9956,582,0,,
Shaanxi,China,2021-10-31,35.1917,108.8701,21227,93,,
Shandong,China,2021-10-31,36.3427,118.1498,29700,217,,
Shanghai,China,2021-10-31,31.201999999999998,121.4491,82888,217,,
Shanxi,China,2021-10-31,37.5777,112.2922,8060,0,,
Sichuan,China,2021-10-31,30.6171,102.7103,37709,93,,
Tianjin,China,2021-10-31,39.3054,117.323,15427,93,,
Tibet,China,2021-10-31,31.6927,88.0924,31,0,,
Unknown,China,2021-10-31,,,20,0,,
Xinjiang,China,2021-10-31,41.1129,85.2401,30407,93,,
Yunnan,China,2021-10-31,24.974,101.48700000000001,47314,62,,
Zhejiang,China,2021-10-31,29.1832,120.0934,45235,31,,
,Indonesia,2021-10-31,-0.7893,113.9213,131209718,4428625,,
,Laos,2021-10-31,19.856270000000002,102.495496,982733,1222,,
Johor,Malaysia,2021-10-31,1.4854,103.7618,6481240,108567,,
Kedah,Malaysia,2021-10-31,6.1184,100.3685,4423311,59678,,
Kelantan,Malaysia,2021-10-31,6.1254,102.2381,4012078,28950,,
Melaka,Malaysia,2021-10-31,2.1896,102.2501,1923506,27239,,
Negeri Sembilan,Malaysia,2021-10-31,2.7258,101.9424,3103899,37641,,
Pahang,Malaysia,2021-10-31,3.8126,103.3256,2232941,19414,,
Perak,Malaysia,2021-10-31,4.5921,101.0901,3437133,31242,,
Perlis,Malaysia,2021-10-31,6.4449,100.2048,149167,2994,,
Pulau Pinang,Malaysia,2021-10-31,5.4141,100.3288,4310446,46710,,
Sabah,Malaysia,2021-10-31,5.9788,116.0753,6479915,74157,,
Sarawak,Malaysia,2021-10-31,1.5533,110.3592,7103338,33773,,
Selangor,Malaysia,2021-10-31,3.0738,101.5183,21611064,294640,,
Terengganu,Malaysia,2021-10-31,5.3117,103.1324,1988622,12940,,
Unknown,Malaysia,2021-10-31,,,0,0,,
W.P. Kuala Lumpur,Malaysia,2021-10-31,3.139,101.6869,5886201,78358,,
W.P. Labuan,Malaysia,2021-10-31,5.2831,115.2308,310175,4617,,
W.P. Putrajaya,Malaysia,2021-10-31,2.9264,101.6964,204758,692,,
,Philippines,2021-10-31,12.879721,121.77401699999999,83657823,1257512,,
,Singapore,2021-10-31,1.2833,103.8333,4539733,7226,,
,Thailand,2021-10-31,15.870032,100.992541,54851601,561808,,
,Vietnam,2021-10-31,14.058323999999999,108.277199,26660523,650589,,
,Brunei,2021-08-31,4.5353,114.7277,35286,122,1120,219
,Burma,2021-08-31,21.9162,95.956,10985696,407116,877105,317239
,Cambodia,2021-08-31,11.55,104.9167,2662445,52331,287219,22033
Anhui,China,2021-08-31,31.8257,117.2264,31248,186,4008,0
Beijing,China,2021-08-31,40.1824,116.4142,34315,279,4270,80
Chongqing,China,2021-08-31,30.0572,107.874,18693,186,2372,16
Fujian,China,2021-08-31,26.0789,117.9874,23811,31,2801,178
Gansu,China,2021-08-31,35.7518,104.2861,6169,62,772,16
Guangdong,China,2021-08-31,23.3417,113.4244,92200,248,11258,278
Guangxi,China,2021-08-31,23.8298,108.7881,8823,62,1092,8
Guizhou,China,2021-08-31,26.8154,106.8748,4557,62,580,0
Hainan,China,2021-08-31,19.1959,109.7453,5886,186,728,4
Hebei,China,2021-08-31,37.8957,114.9042,40827,217,5240,0
Heilongjiang,China,2021-08-31,47.861999999999995,127.7615,37112,299,,
Henan,China,2021-08-31,33.882,113.61399999999999,34826,506,,
Hong Kong,China,2021-08-31,22.3,114.2,373298,6572,46870,249
Hubei,China,2021-08-31,30.9756,112.2707,2116257,139872,254662,110
Hunan,China,2021-08-31,27.6104,111.7088,36099,124,4256,145
Inner Mongolia,China,2021-08-31,44.0935,113.9448,12725,31,1592,36
Jiangsu,China,2021-08-31,32.9711,119.455,45512,0,2984,1437
Jiangxi,China,2021-08-31,27.614,115.7221,29047,31,3744,0
Jilin,China,2021-08-31,43.6661,126.1923,17794,93,2280,4
Liaoning,China,2021-08-31,41.2956,122.6085,13676,62,1706,36
Macau,China,2021-08-31,22.1667,113.55,1945,0,216,28
Ningxia,China,2021-08-31,37.2692,106.1655,2387,0,304,4
Qinghai,China,2021-08-31,35.7452,95.9956,558,0,72,0
Shaanxi,China,2021-08-31,35.1917,108.8701,20654,93,2531,99
Shandong,China,2021-08-31,36.3427,118.1498,28369,217,3504,43
